#    L    TT             EE             BB             TE             PP             TP             EP          
   211   0.570825E+04   0.709776E+00   0.000000E+00  -0.562119E+00   0.543769E-07   0.133102E-03  -0.245551E-06
   212   0.571382E+04   0.720207E+00   0.000000E+00   0.919814E+00   0.541152E-07   0.132036E-03  -0.231379E-06
   213   0.571878E+04   0.731900E+00   0.000000E+00   0.241805E+01   0.538555E-07   0.130979E-03  -0.217164E-06
   214   0.572314E+04   0.744893E+00   0.000000E+00   0.393204E+01   0.535978E-07   0.129929E-03  -0.202909E-06
   215   0.572690E+04   0.759214E+00   0.000000E+00   0.546119E+01   0.533422E-07   0.128888E-03  -0.188617E-06
   216   0.573004E+04   0.774909E+00   0.000000E+00   0.700491E+01   0.530885E-07   0.127853E-03  -0.174291E-06
   217   0.573257E+04   0.792009E+00   0.000000E+00   0.856259E+01   0.528368E-07   0.126827E-03  -0.159934E-06
   218   0.573449E+04   0.810542E+00   0.000000E+00   0.101337E+02   0.525870E-07   0.125808E-03  -0.145549E-06
   219   0.573578E+04   0.830554E+00   0.000000E+00   0.117176E+02   0.523391E-07   0.124796E-03  -0.131140E-06
   220   0.573644E+04   0.852073E+00   0.000000E+00   0.133137E+02   0.520932E-07   0.123792E-03  -0.116709E-06
   221   0.573648E+04   0.875130E+00   0.000000E+00   0.149213E+02   0.518491E-07   0.122795E-03  -0.102259E-06
   222   0.573589E+04   0.899769E+00   0.000000E+00   0.165400E+02   0.516069E-07   0.121806E-03  -0.877948E-07
   223   0.573466E+04   0.926013E+00   0.000000E+00   0.181690E+02   0.513666E-07   0.120824E-03  -0.733181E-07
   224   0.573281E+04   0.953899E+00   0.000000E+00   0.198076E+02   0.511281E-07   0.119849E-03  -0.588323E-07
   225   0.573033E+04   0.983448E+00   0.000000E+00   0.214552E+02   0.508914E-07   0.118881E-03  -0.443406E-07
   226   0.572723E+04   0.101471E+01   0.000000E+00   0.231111E+02   0.506565E-07   0.117921E-03  -0.298460E-07
   227   0.572350E+04   0.104770E+01   0.000000E+00   0.247747E+02   0.504234E-07   0.116968E-03  -0.153518E-07
   228   0.571915E+04   0.108246E+01   0.000000E+00   0.264452E+02   0.501921E-07   0.116021E-03  -0.860957E-09
   229   0.571419E+04   0.111901E+01   0.000000E+00   0.281221E+02   0.499625E-07   0.115082E-03   0.136233E-07
